bookId,title,author,Year,Price$
317,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,2017,8
367,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,2018,4
491,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,2019,4
101,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,2019,8
320,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,2019,8
200,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,2018,6
276,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,2016,20
175,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,2015,5
319,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2010,16
9,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,2009,1
156,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,2009,14
1,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,2011,9
318,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,2012,9
233,Eclipse (Twilight Sagas),Stephenie Meyer,2009,7
136,Eclipse (Twilight),Stephenie Meyer,2009,18
460,Educated: A Memoir,Tara Westover,2018,15
62,Educated: A Memoir,Tara Westover,2019,15
181,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints",Johanna Basford,2015,9
471,Fahrenheit 451,Ray Bradbury,2016,8
84,Fahrenheit 451,Ray Bradbury,2018,8
176,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,2016,15
523,Fear: Trump in the White House,Bob Woodward,2018,2
463,Fifty Shades Darker,E L James,2012,7
392,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,2012,11
13,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,2012,14
410,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,2013,14
27,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,2012,32
171,Fire and Fury: Inside the Trump White House,Michael Wolff,2018,6
94,First 100 Words,Roger Priddy,2014,4
11,First 100 Words,Roger Priddy,2015,4
395,First 100 Words,Roger Priddy,2016,4
458,First 100 Words,Roger Priddy,2017,4
220,First 100 Words,Roger Priddy,2018,4
526,Food Rules: An Eater's Manual,Michael Pollan,2010,9
351,Frozen (Little Golden Book),RH Disney,2014,0
272,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,2010,9
478,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2011,5
139,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2012,5
371,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2013,5
179,George Washington's Sacred Fire,Peter A. Lillback,2010,20
